borough_name,borough_code,borough_area_hectare,green_area_hectare,blue _area_hectare,green+blue_area_hectare,percent_green,percent_blue,percent_green+blue,population,death_persons,death_males,death_females,standard_mortality_ratio_persons,standard_mortality_ratio_males,standard_mortality_ratio_females,life_expectancy_birth_males,life_expectancy_birth_females,life_expectancy_65_males,life_expectancy_65_females,DSR_annual_age15+_persons,DSR_annual_age15+_males,DSR_annual_age15+_females,number_annual_age15+_persons,number_annual_age15+_males,number_annual_age15+_females,meanpercent_homes_with_good_access,meanpercent_home_with_deficiency_access,any_neurotic_disorder_per1000,all_phobias_per1000,depressive_episode_per1000,generalised_anxiety_disorder_per1000,mixed_anxiety_depression,obsessive_compulsive_disorder_per1000,panic_ disorder_per1000,Total road length 
Barking and Dagenham,E09000002,3779.93,1481.78,230.50,1712.28,39.20,6.10,45.30,"185,900","1,266",605,661,113,116,111,77.5,81.8,17.2,20.2,9.0,15.3,3.1,13,11,2,72,28,177.5,21.3014912,34.4118678,51.1,82.6,15.2,8.2,342.3
Barnet,E09000003,8674.84,5030.91,60.01,5090.92,57.99,0.69,58.69,"356,400","2,349","1,084","1,265",84,80,88,81.9,85.0,20.1,22.5,11.2,13.9,8.7,32,19,13,82,18,167.4,19.96991959,32.48356349,49.0,77.4,14.1,7.9,765.0
Bexley,E09000004,6428.65,2759.07,437.52,3196.59,42.92,6.81,49.72,"232,000","1,896",933,963,92,96,89,80.1,84.1,18.6,21.5,7.7,12.7,3.9,14,10,4,83,17,155.6,18.45698991,30.42811508,45.9,71.7,13.0,7.3,549.7
Brent,E09000005,4323.27,1726.56,44.59,1771.15,39.94,1.03,40.97,"311,200","1,612",880,732,87,93,81,79.9,84.9,19.0,22.5,9.3,16.2,2.1,25,22,3,82,18,182.3,21.76055936,35.19583064,53.0,84.4,15.5,8.5,463.9
Bromley,E09000006,15013.49,10262.64,56.96,10319.60,68.36,0.38,68.74,"309,400","2,631","1,214","1,417",90,87,92,81.3,85.1,19.5,22.3,10.3,15.5,5.5,28,20,8,82,18,157.7,18.74240761,30.98094493,47.2,72.4,13.1,7.4,913.5
Camden,E09000007,2178.93,943.02,19.81,962.83,43.28,0.91,44.19,"220,300","1,060",549,511,76,78,73,81.7,86.2,20.3,23.9,15.2,22.1,9.4,23,15,8,71,29,206.3,24.69839134,39.25803127,58.5,97.0,17.8,9.5,277.4
City of London,E09000001,314.94,17.61,24.31,41.92,5.59,7.72,13.31,"7,400",28,17,11,43,46,38,N/A,N/A,N/A,N/A,20.94,33.18,0,2,2,0,0,100,190.6,22.04153652,39.51676385,60.4,84.4,15.9,9.4,47.7
City of Westminster,E09000033,2203.00,687.28,97.18,784.46,31.20,4.41,35.61,"219,400","1,083",572,511,75,75,75,82.2,85.9,21.1,23.4,9.3,16.9,1.7,17,15,2,73,27,195.7,23.25408037,37.33582882,55.6,91.6,17.0,9.1,335.8
Croydon,E09000008,8649.44,4802.84,11.56,4814.40,55.53,0.13,55.66,"363,400","2,408","1,152","1,256",95,92,98,80.4,83.4,19.3,21.3,11.3,19.3,3.9,36,30,6,70,30,172.4,20.71816424,33.73362415,50.9,79.5,14.6,8.0,773.4
Ealing,E09000009,5554.43,2441.65,52.21,2493.87,43.96,0.94,44.90,"338,400","1,889",931,958,91,88,94,80.8,84.0,19.6,21.6,4.2,7.6,0.9,12,11,1,75,25,174.4,20.80994831,34.02933749,51.7,80.0,14.7,8.2,588.5
Enfield,E09000010,8220.02,4352.73,424.01,4776.74,52.95,5.16,58.11,"312,500","2,004",980,"1,024",92,93,92,80.1,84.2,19.0,21.8,4.9,8.8,1.4,13,11,2,54,46,170.7,20.3698174,33.35721276,50.4,78.7,14.4,7.9,635.0
Greenwich,E09000011,5044.19,2180.09,341.94,2522.03,43.22,6.78,50.00,"254,600","1,590",745,845,106,102,110,79.0,82.6,18.0,20.7,7.2,10.4,4.1,14,10,4,87,13,189.8,22.79231252,36.73690186,54.9,88.3,16.2,8.8,517.9
Hackney,E09000012,1904.90,738.97,42.56,781.53,38.79,2.23,41.03,"246,300","1,045",549,496,100,99,100,78.7,82.7,18.6,21.0,4.7,8.3,1.2,10,8,2,74,26,212.7,25.92035699,40.63510489,61.1,99.6,18.2,9.7,270.4
Hammersmith and Fulham,E09000013,1715.41,473.37,79.40,552.77,27.60,4.63,32.22,"182,500",846,438,408,91,96,87,79.2,83.9,18.3,21.7,7.2,15.4,0.0,9,9,0,64,36,205.7,24.74952088,39.24001662,59.6,95.9,17.4,9.6,219.9
Haringey,E09000014,2959.84,1288.89,23.41,1312.29,43.55,0.79,44.34,"254,900","1,173",632,541,92,97,87,79.9,84.5,19.2,22.4,14.4,23.1,6.9,31,23,8,82,18,200.9,24.2349651,38.84484319,58.7,93.0,17.1,9.3,353.8
Harrow,E09000015,5046.33,2796.61,23.88,2820.50,55.42,0.47,55.89,"239,100","1,453",740,713,77,78,76,82.3,85.9,20.9,23.1,6.1,9.0,3.8,13,9,4,61,39,153.9,18.22936687,30.01671878,45.4,70.8,12.9,7.3,472.3
Havering,E09000016,11445.74,7551.97,401.81,7953.78,65.98,3.51,69.49,"237,200","2,193",995,"1,198",93,91,94,80.2,84.1,18.9,21.6,9.5,18.3,2.0,19,17,2,59,41,151.4,17.74417121,29.67523701,44.8,69.5,12.7,7.2,684.2
Hillingdon,E09000017,11570.06,6316.80,377.17,6693.97,54.60,3.26,57.86,"273,900","1,864",920,944,93,92,95,80.5,83.7,19.3,21.4,3.4,4.0,2.7,8,5,3,84,16,160.1,19.07467685,31.18677549,46.5,74.1,13.7,7.4,727.9
Hounslow,E09000018,5658.54,2677.23,178.21,2855.44,47.31,3.15,50.46,"254,000","1,372",716,656,91,93,88,79.8,84.1,18.6,21.7,2.2,3.8,0.6,6,5,1,77,23,168.9,20.14488872,32.96759076,49.8,77.6,14.4,8.0,499.8
Islington,E09000019,1485.67,518.14,3.95,522.09,34.88,0.27,35.14,"206,100","1,003",515,488,97,97,98,78.7,83.0,18.2,21.2,10.9,15.4,7.0,16,10,6,68,32,212.7,25.65897594,40.55013914,60.6,100.0,18.3,9.7,236.5
Kensington and Chelsea,E09000020,1238.38,376.07,28.56,404.64,30.37,2.31,32.67,"158,700",785,384,401,73,69,77,83.4,86.5,21.4,23.6,9.7,11.5,7.6,12,7,5,90,10,195.2,23.40152439,37.90848965,57.2,90.4,16.6,9.1,213.8
Kingston upon Thames,E09000021,3726.12,1953.41,39.28,1992.69,52.42,1.05,53.48,"160,100",972,451,521,81,77,84,81.5,84.5,19.7,21.9,3.1,6.2,0.0,4,4,0,68,32,164.3,19.53515519,32.13004456,48.1,75.6,14.1,7.7,343.0
Lambeth,E09000022,2724.94,896.81,44.28,941.09,32.91,1.62,34.54,"303,100","1,378",729,649,99,103,95,78.5,83.0,18.2,21.3,10.4,13.7,7.4,19,12,7,63,37,209.9,25.34377374,40.62961864,62.3,96.8,17.7,9.8,383.4
Lewisham,E09000023,3531.71,1421.51,28.39,1449.90,40.25,0.80,41.05,"275,900","1,536",766,770,102,104,100,78.8,83.1,18.3,20.9,5.8,8.9,2.9,15,11,4,86,14,197.9,24.04115431,38.58937189,58.5,91.4,16.8,9.1,433.7
Merton,E09000024,3762.47,1835.36,31.92,1867.29,48.78,0.85,49.63,"199,700","1,213",592,621,93,93,93,80.5,84.2,18.8,21.6,6.5,15.0,0.7,11,10,1,86,14,171.4,20.56553855,33.27810566,50.8,78.9,14.4,8.1,375.1
Newham,E09000025,3857.81,1182.08,365.05,1547.13,30.64,9.46,40.10,"308,000","1,264",708,556,101,107,95,79.0,82.5,18.3,20.5,8.5,7.8,9.0,23,12,11,61,39,190.9,22.96539495,36.68524439,54.2,88.8,16.7,8.8,429.9
Redbridge,E09000026,5644.22,3023.23,79.78,3103.01,53.56,1.41,54.98,"279,000","1,657",839,818,86,89,83,80.6,84.2,19.1,21.7,7.6,14.2,1.7,15,13,2,82,18,161.6,19.20289986,31.59651999,47.7,74.3,13.6,7.6,536.8
Richmond upon Thames,E09000027,5876.11,3642.68,307.94,3950.61,61.99,5.24,67.23,"187,000","1,110",511,599,75,73,77,82.0,85.4,20.2,22.9,4.6,5.3,4.2,6,3,3,89,11,166.4,20.02400457,33.15058186,50.7,75.7,13.9,7.9,413.0
Southwark,E09000028,2991.34,1126.72,126.48,1253.19,37.67,4.23,41.89,"288,300","1,357",697,660,101,103,98,78.8,83.7,18.3,21.4,14.5,23.2,5.9,31,25,6,70,30,206.4,24.88322721,39.93056135,60.2,95.6,17.8,9.5,392.9
Sutton,E09000029,4384.70,2178.83,54.78,2233.61,49.69,1.25,50.94,"190,100","1,569",704,865,101,94,107,80.8,83.5,19.1,21.3,6.6,10.3,3.5,11,8,3,70,30,161.2,19.23788044,31.67785748,48.2,73.9,13.5,7.6,468.8
Tower Hamlets,E09000030,2157.50,547.61,253.56,801.16,25.38,11.75,37.13,"254,100","1,062",558,504,107,105,109,78.4,82.4,17.7,20.4,10.2,18.9,1.4,22,19,3,65,35,198.0,23.58596135,37.49667254,56.3,92.9,17.0,9.1,296.1
Waltham Forest,E09000031,3880.79,1721.34,242.10,1963.44,44.36,6.24,50.59,"258,200","1,473",758,715,98,103,94,79.3,83.7,18.6,21.5,8.4,15.0,1.7,20,19,1,58,42,183.8,22.25391658,35.56984541,53.8,84.7,15.7,8.5,421.5
Wandsworth,E09000032,3522.02,1373.92,112.57,1486.49,39.01,3.20,42.21,"307,000","1,442",720,722,94,96,92,79.7,83.6,18.5,21.2,10.5,20.0,2.2,21,18,3,91,9,200.1,24.25130598,37.57137001,57.1,94.4,16.8,9.3,430.0
