borough_name,borough_code,borough_area_hectare,green_area_hectare,population,,overweight,standard_mortality_ratio_persons,life_expectancy_birth_males,life_expectancy_birth_females,,,any_neurotic_disorder_per1000,all_phobias_per1000,depressive_episode_per1000,mixed_anxiety_depression,,,percent_green,greenPerPerson,access
Barking and Dagenham,E09000002,3779.93,1481.78,"185,900",,31.5,113,77.5,81.8,,,177.5,21.3014912,34.4118678,82.6,,,39.2,0.007970845,0.000721818
Barnet,E09000003,8674.84,5030.91,"356,400",,31.9,84,81.9,85,,,167.4,19.96991959,32.48356349,77.4,,,57.99,0.014115909,0.001244826
Bexley,E09000004,6428.65,2759.07,"232,000",,35.2,92,80.1,84.1,,,155.6,18.45698991,30.42811508,71.7,,,42.92,0.011892543,0.001016906
Brent,E09000005,4323.27,1726.56,"311,200",,43.1,87,79.9,84.9,,,182.3,21.76055936,35.19583064,84.4,,,39.94,0.005548072,0.000595325
Bromley,E09000006,15013.49,10262.64,"309,400",,34.9,90,81.3,85.1,,,157.7,18.74240761,30.98094493,72.4,,,68.36,0.033169489,0.002018207
Camden,E09000007,2178.93,943.02,"220,300",,43.8,76,81.7,86.2,,,206.3,24.69839134,39.25803127,97,,,43.28,0.004280617,0.000544966
City of London,E09000001,314.94,17.61,"7,400",,36.4,43,N/A,N/A,,,190.6,22.04153652,39.51676385,84.4,,,5.59,0.00237973,0.000360428
City of Westminster,E09000033,2203,687.28,"219,400",,37.7,75,82.2,85.9,,,195.7,23.25408037,37.33582882,91.6,,,31.2,0.003132543,0.000477489
Croydon,E09000008,8649.44,4802.84,"363,400",,39,95,80.4,83.4,,,172.4,20.71816424,33.73362415,79.5,,,55.53,0.013216401,0.00118176
Ealing,E09000009,5554.43,2441.65,"338,400",,37.8,91,80.8,84,,,174.4,20.80994831,34.02933749,80,,,43.96,0.007215278,0.000764469
Enfield,E09000010,8220.02,4352.73,"312,500",,40.8,92,80.1,84.2,,,170.7,20.3698174,33.35721276,78.7,,,52.95,0.013928736,0.001076001
Greenwich,E09000011,5044.19,2180.09,"254,600",,32.8,106,79,82.6,,,189.8,22.79231252,36.73690186,88.3,,,43.22,0.008562804,0.000879165
Hackney,E09000012,1904.9,738.97,"246,300",,36.3,100,78.7,82.7,,,212.7,25.92035699,40.63510489,99.6,,,38.79,0.003000284,0.000425889
Hammersmith and Fulham,E09000013,1715.41,473.37,"182,500",,40.2,91,79.2,83.9,,,205.7,24.74952088,39.24001662,95.9,,,27.6,0.002593808,0.000332503
Haringey,E09000014,2959.84,1288.89,"254,900",,38.3,92,79.9,84.5,,,200.9,24.2349651,38.84484319,93,,,43.55,0.005056454,0.000604416
Harrow,E09000015,5046.33,2796.61,"239,100",,41,77,82.3,85.9,,,153.9,18.22936687,30.01671878,70.8,,,55.42,0.011696403,0.001094699
Havering,E09000016,11445.74,7551.97,"237,200",,43.5,93,80.2,84.1,,,151.4,17.74417121,29.67523701,69.5,,,65.98,0.031837985,0.001903201
Hillingdon,E09000017,11570.06,6316.8,"273,900",,41,93,80.5,83.7,,,160.1,19.07467685,31.18677549,74.1,,,54.6,0.023062432,0.001450912
Hounslow,E09000018,5658.54,2677.23,"254,000",,33.2,91,79.8,84.1,,,168.9,20.14488872,32.96759076,77.6,,,47.31,0.010540276,0.000930987
Islington,E09000019,1485.67,518.14,"206,100",,34.7,97,78.7,83,,,212.7,25.65897594,40.55013914,100,,,34.88,0.002514022,0.000400201
Kensington and Chelsea,E09000020,1238.38,376.07,"158,700",,40.5,73,83.4,86.5,,,195.2,23.40152439,37.90848965,90.4,,,30.37,0.002369691,0.000409115
Kingston upon Thames,E09000021,3726.12,1953.41,"160,100",,37.4,81,81.5,84.5,,,164.3,19.53515519,32.13004456,75.6,,,52.42,0.012201187,0.001123154
Lambeth,E09000022,2724.94,896.81,"303,100",,37.7,99,78.5,83,,,209.9,25.34377374,40.62961864,96.8,,,32.91,0.002958792,0.000416303
Lewisham,E09000023,3531.71,1421.51,"275,900",,40.3,102,78.8,83.1,,,197.9,24.04115431,38.58937189,91.4,,,40.25,0.005152265,0.000632707
Merton,E09000024,3762.47,1835.36,"199,700",,36.8,93,80.5,84.2,,,171.4,20.56553855,33.27810566,78.9,,,48.78,0.009190586,0.000916257
Newham,E09000025,3857.81,1182.08,"308,000",,34.9,101,79,82.5,,,190.9,22.96539495,36.68524439,88.8,,,30.64,0.003837922,0.000427684
Redbridge,E09000026,5644.22,3023.23,"279,000",,35.5,86,80.6,84.2,,,161.6,19.20289986,31.59651999,74.3,,,53.56,0.01083595,0.001030565
Richmond upon Thames,E09000027,5876.11,3642.68,"187,000",,35.8,75,82,85.4,,,166.4,20.02400457,33.15058186,75.7,,,61.99,0.019479572,0.001369114
Southwark,E09000028,2991.34,1126.72,"288,300",,38.1,101,78.8,83.7,,,206.4,24.88322721,39.93056135,95.6,,,37.67,0.003908151,0.000513319
Sutton,E09000029,4384.7,2178.83,"190,100",,33.6,101,80.8,83.5,,,161.2,19.23788044,31.67785748,73.9,,,49.69,0.011461494,0.001225431
Tower Hamlets,E09000030,2157.5,547.61,"254,100",,37.5,107,78.4,82.4,,,198,23.58596135,37.49667254,92.9,,,25.38,0.002155096,0.00029577
Waltham Forest,E09000031,3880.79,1721.34,"258,200",,37.6,98,79.3,83.7,,,183.8,22.25391658,35.56984541,84.7,,,44.36,0.006666692,0.000724082
Wandsworth,E09000032,3522.02,1373.92,"307,000",,34.8,94,79.7,83.6,,,200.1,24.25130598,37.57137001,94.4,,,39.01,0.004475309,0.000546386
